"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","7671","Validate Resident page functionalities","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","801","validate Dropdown value in polygon Button for Alarm settings column","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","26711","Validating the login functionality","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","8748","Fill form values after clicking the edit button","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","6306","validate arrowupDownFunctionality in Resident page for Name Column","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","22140","Validate columns Dropdown in resident page","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","510","validate arrowupDownFunctionality in Resident page for Alarm settings Column","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","563","validate Dropdown value in polygon Button for Sector column","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","441","validate arrowupDownFunctionality in Resident page for Room Status Column","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","1647","validate Dropdown value in polygon Button for room status column","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","3225","validate arrowupDownFunctionality in Resident page for Sector Column","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","453","validate Dropdown value in polygon Button for History column","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","467","validate arrowupDownFunctionality in Resident page for History Column","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","306","validate arrowupDownFunctionality in Resident page for History Column","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","358","validate arrowupDownFunctionality in Resident page for Room Status Column","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","1007","validate Dropdown value in polygon Button for Alarm settings column","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","24471","Validate columns Dropdown in resident page","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","1123","validate Dropdown value in polygon Button for room status column","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","3820","validate arrowupDownFunctionality in Resident page for Name Column","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","259","validate arrowupDownFunctionality in Resident page for Alarm settings Column","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","2554","validate functionality of Edit button in Resident page","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","8071","Fill form values after clicking the edit button","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","5835","validate arrowupDownFunctionality in Resident page for Sector Column","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","26804","Validating the login functionality","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","875","validate Dropdown value in polygon Button for Sector column","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","1574","validate functionality of Edit button in Resident page","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","405","validate Dropdown value in polygon Button for History column","chrome","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
"","8315","Validate Resident page functionalities","firefox","2026-01-20","passed","2026-01-20","Resident Page Tests","tests/a_resident.test.ts","",""
